Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA.NH.A6GA.01A	0.0715818349441845	0	0.0106524717683248	0.120742073854412	0	0.180956399588053	0.0608030239592685	0.00885432981248862	0.0375245148606291	0	0.00655701101586916	0.00793727833977208	0.00429339332176067	0.170081792440206	0.0444421649099879	0.0985807289398513	0.0795052075032631	0.0221345384226548	0.070962596035104	0.0030251008186757	0	0.00136553946549421	0	0.0848304818663104	1.04371553703794
TCGA.D5.6537.01A	0.0165761160292213	0.00578738741329556	0.00173157206348195	0.128930148811013	0	0.1646398396265	0.159388787692203	0	0	0	0.0129621456532225	0	0.00504091655700907	0.193216075119373	0.0807213487953363	0.0686615899493249	0.00318847776219901	0.0109637543161662	0	0.0871818936129566	0	0.0610099465986972	0	0.582135169355938	0.825951559418842
TCGA.AZ.4684.01A	0.0431382838208957	0	0.0299852289597047	0.0785160904582722	0	0.170600830238208	0.0656920301198071	0	0.0511834761911949	0	0.0592189197483075	0	0	0.222572381449621	0.0291780759849896	0.0915741039303408	0.017139254826496	0.0162757990734143	0	0.106828086633731	0.00272282897013157	0.0153746095948853	0	0.415079383388502	0.909201759455511
TCGA.G4.6302.01A	0.0730551398896005	0	0.00742377861193399	0.123320793739399	0	0.0857525924310858	0.0484523271644063	0.0094363852610113	0.0416142198791291	0	0.00881684711181188	0	0	0.316347379794576	0.0721851638779445	0.144090480092547	0	0.00365889246134986	0.0658459996852046	0	0	0	0	0.547851261771717	0.841878581824556
TCGA.AA.3862.01A	0.0437691992555072	0	0.00230911171400868	0.140158491659952	0	0.184815119206001	0.0769746489052601	0.0649218174125259	0.0383498341768357	0.0117050849507518	0	0	0	0.113809421852099	0.0812061715552862	0.0847091105278125	0.0218682648171047	0.00922935246019767	0.0689896101987823	0.0131194448274658	0.0321071355191531	0.0119581809612563	0	0.448581174474481	0.893444849186481
TCGA.AA.3697.01A	0.0846388299773685	0	0.0274905217208188	0.0847548278573846	0	0.156105036849814	0.106851814302699	0.0241155965345262	0	0	0.030404415948482	0	0	0.196690697664233	0.0448166886884836	0.136537747164356	0.00538479014947098	0.0146293208869955	0.0363282348003442	0.0497794833034365	0	0.00147199415158769	0	0.518310955380951	0.862331679560988
TCGA.AA.3532.01A	0.027819451159165	0.0219369796100468	0.0426645779547826	0.0664269360778361	0	0.116921049510677	0.0914343561588622	0.0391879589624517	0.0279640048055247	0	0.0017622152151325	0.0270648267888659	0	0.158275740560101	0.0925878887981994	0.150350064259411	0.0301856015299168	0.0169344259818306	0.0639727842027616	0	0.00598796659031731	0.0185231718341181	0	0.653837153854316	0.799519363533851
TCGA.AZ.6606.01A	0.0733254346044114	0	0	0.0615773905180234	0	0.240833139110232	0.0690731534976293	0.0472656474932165	0.0287255529034593	0	0.0197203166156069	0.00925343463153334	0.00605745144476393	0.200088603347005	0.0391001056665109	0.149221945298641	0	0.0343532833801396	0.00558145408291909	0.0112358702607084	0.00458721714519988	0	0	0.401006859402434	0.916024015839344
TCGA.CK.4947.01B	0.0575240451560592	0	0.0282317972643674	0.139681007129756	0	0.242596330472021	0.0392551790553007	0.0257899533028874	0.0375952130377644	0	0.0138770384360409	0	0.00452690083507164	0.0965494240531136	0.0556366848609562	0.0993530702293937	0.0822184499479034	0.00442350661931239	0.0519020871783549	0.000319205677551646	0.0135292200459794	0.00699088669816658	0	0.418072905592243	0.907754424876236
TCGA.A6.2674.01A	0.0477237944420214	0	0.0275277036499557	0.0350688171767664	0	0.144998120495803	0	0.0038925651931236	0	0	0.00107171251241354	0.0125089950012463	0	0.216757815079742	0.0320070659434541	0.123030037244374	0	0.000824312792870374	0	0.214242535516234	0.00709892837465479	0.133247596577341	0	0.677078664780605	0.757903362769625
TCGA.CA.6716.01A	0.0760986031661906	0	0.00903432865817735	0.042191774978363	0	0.141481224948491	0.110568570468613	0.00590323521522931	0.0184657304200484	0	0.085265581235574	0	0	0.315144730918701	0.0299348213953698	0.11242622818752	0.0118354980630466	0	0	0.0416496723446754	0	0	0	0.494143797017017	0.870298441619857
TCGA.NH.A6GC.01A	0.0418898648576321	0.0126460894079171	0.0734618696625264	0.0609011655946254	0	0.181764003609438	0.0407857509724031	0.0264351329409571	0.0339497049987335	0	0.00742111675723213	0.0382399753117254	0.000272742298436586	0.224065354364409	0.0189119847141723	0.178711910077699	0.0136310222164711	0	0.0467100265079627	0	0	0.000202285707658577	0	0.359420564075553	0.934873795292507
