Mixture	B.cells.naive	B.cells.memory	Plasma.cells	T.cells.CD8	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.follicular.helper	T.cells.regulatory..Tregs.	T.cells.gamma.delta	NK.cells.resting	NK.cells.activated	Monocytes	Macrophages.M0	Macrophages.M1	Macrophages.M2	Dendritic.cells.resting	Dendritic.cells.activated	Mast.cells.resting	Mast.cells.activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA.D3.A8GB.06A	0.0674478544937966	0.0163715946592239	0.0657187365777282	0.235781508999877	0	0.0228790736920727	0.0421490258507059	0.0901296823755376	0.0812810063959127	0	0	0.060514404602383	0.00913719002010666	0.0902639119923634	0.0936162935196219	0.0833337187117811	0.00664017892444841	0.000392525325211147	0.034334733736687	0	0	8.56012254298378e-06	0	0.537934003432584	0.846007533294891
TCGA.WE.A8ZN.06A	0.00653262321302951	0.01520334003487	0.0137783244152171	0.294371771065376	0	0	0.030192171201689	0.0375972652386275	0.066538849021437	0	0	0.0603117601753419	0.02835011031212	0.196982054749813	0.0805457581790074	0.12707902824729	0.00899301065225148	0	0.033523933493931	0	0	0	0	0.729275920736037	0.735229329719015
TCGA.ER.A2NF.01A	0.0231753792495824	0.0200498414575975	0.19958840350355	0.219294350800524	0	0.0596048700730345	0.00358305512873743	0.0582830108204957	0.0746112159592432	0	0	0.0283028385552338	0.00734888608042843	0.104274433629805	0.0589392938849227	0.105326341824615	0.00135083964936934	0	0.0360730655107228	0	0	0.000194173872137198	0	0.595547665209577	0.810469159039428
TCGA.HR.A2OH.06A	0	0	0.0202783203050818	0.369108923071779	0	0	0.109348958956587	0.0654412553515415	0.048301127807357	0	0	0.0130644218387957	0.0381023780661389	0.141607031014235	0.0880231814827012	0.0834719060508251	0.0113371910282824	0	0.0119153050266758	0	0	0	0	0.629926404488917	0.79154470636139
TCGA.WE.A8K6.06A	0.0132829955329807	0.0175502378251067	0.00137111836026123	0.0371633535733163	0	0	0.0215076782663836	0.0257179404660009	0.0308953807902803	0.0254820283614122	0.0318639479344313	0	0	0.490116719604254	0.0551837797021576	0.227205169280776	0	0	0.016377226787217	0	0.00628242351542211	0	0	0.767436018190198	0.668086547829156
TCGA.RP.A695.06A	0.0319205651829923	0.0103928684236392	0.0213676940293658	0.251878688147291	0	0.0622444566806652	0.00592944110940113	0.0503981353165744	0.0359934767708818	0	0	0.0502052801877129	0.00243977082275715	0.228129332208161	0.0434761072310508	0.180803514058635	0.00828027802473537	0	0.0145548736134048	0	0	0.00198551819273153	0	0.366555050201424	0.93438038285407
TCGA.D9.A3Z1.06A	0.0028561631139869	0.0332021268267966	0.0468379095803141	0.252022020024308	0	0	0.0960270406734051	0.067898005555989	0.0239861028800669	0.0392171208762744	0	0.007482135401357	0	0.129116435581851	0.0542318507989383	0.202259291943108	0.0207014717186872	0	0.0231197714224447	0	0.00104255360247203	0	0	0.419624317659378	0.906972767609505
TCGA.GF.A6C8.06A	0.0324476098910035	0.00797718101943766	0	0.218302457008707	0	0	0.118081408444611	0.0177846789623128	0.0258930616711349	0	0.0766065386314009	0	0.0274248826607267	0.167048832282267	0.123955481472362	0.130934364476903	0.0124819098855174	0	0.0376943030145565	0	0	0.00336729057905934	0	0.69164550246198	0.765380903427162
TCGA.D3.A1Q6.06A	0.0275773677225249	0	0.0101334296102251	0.0814473558918996	0	0.242166248976418	0.045360694181478	0.03054595660508	0	0.015912740926516	0.010593223820407	0	0.00314398705283733	0.2108439493944	0.0428032590520862	0.153188550666583	0.0378955636308636	0.0223164057389979	0.0131005580261698	0.0164955701290866	0	0.0364751385744274	0	0.135393138634725	1.03315909314053
TCGA.ER.A195.06A	0.0240741685164779	0	0.00125349158233369	0.23904907978731	0	0	0.0581833045089514	0.0192321570884218	0.0597577254989539	0	0.0194151181743055	0.0227722728776666	0.0235351577266889	0.18578609997964	0.0892660482265566	0.197122985801375	0.010195378027015	0	0.0503570122043034	0	0	0	0	0.677775754439471	0.773450184200247
TCGA.ER.A2NG.06A	0.00607874635811298	0	0.00493392444144206	0.345453384060387	0	0	0.12597993770058	0.0437622034893034	0.0186431373383308	0	0.0417704068894768	0.0199004290964097	0.00754241952543378	0.211586662887419	0.0690673654528437	0.0784964279832982	0.00240797383956183	0.000632559701060587	0.023358943216595	0	0.000385478019745212	0	0	0.712979043366844	0.738934363491757
