ID	Accession	Assay Type	Assay Nickname	Target label	Target gene	Biosample summary	Biosample	Description	Lab	Project	Status	Biological replicate	Technical replicate	Linked Antibody	Species	Life stage	Age	Age Units	Treatment	Term ID	Concentration	Concentration units	Duration	Duration units	Synchronization	Post-synchronization time	Post-synchronization time units	Replicates
/experiments/ENCSR000AAG/	ENCSR000AAG	RNA-seq	RNA-seq			smooth muscle cell of the coronary artery female adult (53 years) and male adult (55 years)	smooth muscle cell of the coronary artery	CSHL Long RNA Seq HCASMC cell total  (SID38234,SID38235)	Thomas Gingeras, CSHL	ENCODE	released	1,2	1		Homo sapiens	adult	53,55	year										/replicates/08294348-b458-49b5-aef0-b69f489ecd69/,/replicates/d5147bb0-2e34-48c4-8570-49e70d41434f/
/experiments/ENCSR000CUJ/	ENCSR000CUJ	RNA-seq	RNA-seq			fibroblast of the aortic adventitia female adult (24 years) and male adult (47 years)	fibroblast of the aortic adventitia	The libraries contained in this experiment come from aortic adventital fibroblast primary whole cells, HAoAF isolated from independent donors. They are stranded PE101 Illumina Hi-Seq RNA-Seq libraries from rRNA-depleted Total RNA > 200 nucleotides in size.	Thomas Gingeras, CSHL	ENCODE	released	2,1	1		Homo sapiens	adult	47,24	year										/replicates/0c0fb84f-5e19-4f56-adb0-488ab3d338ea/,/replicates/7a37a7d7-eadc-41f3-b092-e409512fc6f7/
/experiments/ENCSR000CUL/	ENCSR000CUL	RNA-seq	RNA-seq			fibroblast of villous mesenchyme female newborn and male newborn	fibroblast of villous mesenchyme	The libraries contained in this experiment come from placental villous mesenchymal fibroblasts primary whole cells, HVMF  isolated from independent donors. They are stranded PE101 Illumina Hi-Seq RNA-Seq libraries from rRNA-depleted Total RNA > 200 nucleotides in size.	Thomas Gingeras, CSHL	ENCODE	released	1,2	1		Homo sapiens	newborn	unknown											/replicates/654ee211-cc2e-48b7-862d-1210886c808c/,/replicates/8fc9a087-35b6-4820-ac54-db436bcb16c8/
/experiments/ENCSR198TKA/	ENCSR198TKA	RNA-seq	RNA-seq			mesangial cell NONE and female fetal (21 week)	mesangial cell	The libraries contained in this experiment come from primary mesangial cells (HRMC). They are stranded PE101 Illumina Hi-Seq libraries from rRNA-depleted Total RNA > 200 nucleotides in size.	Thomas Gingeras, CSHL	ENCODE	released	2,1	1		Homo sapiens	unknown,fetal	unknown,21	week										/replicates/e5329305-14ab-4570-bc63-7ce794cb4218/,/replicates/f538afd1-4c47-4b36-a511-67b7e113308a/
/experiments/ENCSR680USE/	ENCSR680USE	RNA-seq	RNA-seq			hair follicular keratinocyte male adult (55 years)	hair follicular keratinocyte	The libraries contained in this experiment come from hair follicular keratinocytes (HHFK). They are stranded PE101 Illumina Hi-Seq libraries from rRNA-depleted Total RNA > 200 nucleotides in size.	Thomas Gingeras, CSHL	ENCODE	released	1,2	1		Homo sapiens	adult	55	year										/replicates/057a7bbe-7681-4770-aa66-913d524ed720/,/replicates/7a64b51d-96ab-4a34-ab00-713e23a388b2/
/experiments/ENCSR000CUA/	ENCSR000CUA	RNA-seq	RNA-seq			hematopoietic multipotent progenitor cell male	hematopoietic multipotent progenitor cell	The libraries contained in this experiment come from the whole cell fraction of independent isolates of mobilized CD34+ blood progenitor cells. They are stranded PE101 Illumina Hi-Seq RNA-Seq libraries from rRNA-depleted Total RNA > 200 nucleotides in size.	Thomas Gingeras, CSHL	ENCODE	released	1	1		Homo sapiens	unknown	unknown											/replicates/8745ee56-ae58-4c4c-bc8e-58bd462937a1/
/experiments/ENCSR000COP/	ENCSR000COP	RNA-seq	polyA mRNA RNA-seq			foreskin fibroblast male newborn	foreskin fibroblast	The libraries contained in this experiment come from the whole cell fraction of independent growths of foreskin fibroblast cells. They are stranded PE76 Illumina GAIIx RNA-Seq libraries from rRNA-depleted Poly-A+ RNA > 200 nucleotides in size.	Thomas Gingeras, CSHL	ENCODE	released	2,1	1		Homo sapiens	newborn	unknown											/replicates/5c46487f-9fae-4534-8a10-1e7a01a2acd6/,/replicates/6feb2243-0639-43d3-aa29-6c8c43e7502d/
/experiments/ENCSR233IJT/	ENCSR233IJT	RNA-seq	RNA-seq			astrocyte	astrocyte	The libraries contained in this experiment come from independent growths of primary astrocytes.  They are stranded PE101 Illumina Hi-Seq libraries from rRNA-depleted Total RNA > 200 nucleotides in size.	Thomas Gingeras, CSHL	ENCODE	released	1,2	1		Homo sapiens	unknown	unknown											/replicates/ed70bab3-8f60-424e-810d-5f8342fc214b/,/replicates/7602488b-6587-435c-a74b-6997a1b19fb4/
/experiments/ENCSR000CQG/	ENCSR000CQG	RNA-seq	polyA depleted RNA-seq			endothelial cell of umbilical vein male newborn	endothelial cell of umbilical vein	RNA-seq on human HUVEC whole cell long polyA- RNA	Thomas Gingeras, CSHL	ENCODE	released	2,1	1		Homo sapiens	newborn	unknown											/replicates/10d8ee04-a99c-48f3-8645-4945e5a55e42/,/replicates/a52a2661-2868-4299-961b-f0a456ca79dc/
/experiments/ENCSR000AAM/	ENCSR000AAM	RNA-seq	RNA-seq			pulmonary artery endothelial cell male adult (23 years) and male adult (52 years)	pulmonary artery endothelial cell	CSHL Long RNA Seq HPAEC cell total  (SID38226,SID38227)	Thomas Gingeras, CSHL	ENCODE	released	2,1	1		Homo sapiens	adult	23,52	year										/replicates/b9a8fb7b-82da-44e6-8bd3-7650ea743b4b/,/replicates/bd35721a-8714-4a0f-aad7-5b035c323fa8/
/experiments/ENCSR000CTN/	ENCSR000CTN	RNA-seq	polyA mRNA RNA-seq			IMR-90 cytosolic fraction female fetal (16 weeks)	IMR-90	RNA-seq on human IMR90 cytosol long polyA+ RNA	Thomas Gingeras, CSHL	ENCODE	released	1,2	1		Homo sapiens	fetal	16	week										/replicates/9f0c3c4e-9b10-453a-9c79-d4443c52ca47/,/replicates/c8990fb6-de3f-4303-8557-f9f613e4a391/
/experiments/ENCSR000CTY/	ENCSR000CTY	RNA-seq	polyA depleted RNA-seq			CD14-positive monocyte female	CD14-positive monocyte	The libraries contained in this experiment come from the whole cell fraction of independent isolates of mobilized CD14+ monocytes. They are stranded PE101 Illumina Hi-Seq RNA-Seq libraries from rRNA-depleted Poly-A- RNA > 200 nucleotides in size.	Thomas Gingeras, CSHL	ENCODE	released	2,1	1		Homo sapiens	unknown	unknown											/replicates/4bbe4726-76fa-4dfe-a88d-5c1c810c73f0/,/replicates/402ed9d1-4b5b-4d12-9ddd-f9093981d0ec/
/experiments/ENCSR000COO/	ENCSR000COO	RNA-seq	polyA mRNA RNA-seq			fibroblast of lung male fetal (12 weeks)	fibroblast of lung	The libraries contained in this experiment come from the whole cell fraction of independent growths of cell line AG04450. They are stranded PE76 Illumina GAIIx RNA-Seq libraries from rRNA-depleted Poly-A+ RNA > 200 nucleotides in size.	Thomas Gingeras, CSHL	ENCODE	released	1,2	1		Homo sapiens	fetal	12	week										/replicates/7f0e4f64-d153-48a6-9573-f7eb3220a157/,/replicates/c1660859-c5c6-4fed-a959-9e4c15b94858/
/experiments/ENCSR000CUE/	ENCSR000CUE	RNA-seq	RNA-seq			articular chondrocyte of knee joint female adult (56 years) and male adult (64 years)	articular chondrocyte of knee joint	The libraries contained in this experiment come from chondrocyte primary whole cells, HCH isolated from independent donors. They are stranded PE101 Illumina Hi-Seq RNA-Seq libraries from rRNA-depleted Total RNA > 200 nucleotides in size.	Thomas Gingeras, CSHL	ENCODE	released	2,1	1		Homo sapiens	adult	64,56	year										/replicates/c6c16e2c-f5eb-4c13-8b95-cc6fc12124a7/,/replicates/fd239fe5-a465-4095-8d9c-7ba4046aff38/
/experiments/ENCSR000AAR/	ENCSR000AAR	RNA-seq	RNA-seq			tracheal epithelial cell male adult (21 year) and male adult (68 years)	tracheal epithelial cell	CSHL Long RNA Seq HTEpC cell total  (SID38208,SID38209)	Thomas Gingeras, CSHL	ENCODE	released	1,2	1		Homo sapiens	adult	21,68	year										/replicates/5dfbfd09-5f25-4e73-aba4-17282dcc1793/,/replicates/de6b10d1-cfe8-445a-8e72-3fa709d24ae0/
/experiments/ENCSR000AAD/	ENCSR000AAD	RNA-seq	RNA-seq			bronchial epithelial cell female adult (40 years) and male adult (68 years)	bronchial epithelial cell	CSHL Long RNA Seq HBEpC cell total  (SID38222,SID38223)	Thomas Gingeras, CSHL	ENCODE	released	1,2	1		Homo sapiens	adult	68,40	year										/replicates/15d8dbc2-6d36-4251-89bc-eaf6011d1fdd/,/replicates/d7532594-cffb-42a6-9c7d-30c110c3b72d/
/experiments/ENCSR000AAE/	ENCSR000AAE	RNA-seq	RNA-seq			bronchial smooth muscle cell male adult (52 years) and male adult (59 years)	bronchial smooth muscle cell	CSHL Long RNA Seq HBSMC cell total  (SID38230,SID38231)	Thomas Gingeras, CSHL	ENCODE	released	1,2	1		Homo sapiens	adult	52,59	year										/replicates/28545442-2101-491b-a9c4-4ee2cc830836/,/replicates/418e3926-3115-41bd-af1c-0ea683687648/
/experiments/ENCSR822SUG/	ENCSR822SUG	RNA-seq	RNA-seq			airway epithelial cell	airway epithelial cell	The libraries contained in this experiment come from airway epithelial cells (HSA EpiC). They are stranded PE101 Illumina Hi-Seq RNA-Seq libraries from rRNA-depleted Total RNA > 200 nucleotides in size.	Thomas Gingeras, CSHL	ENCODE	released	1,2	1		Homo sapiens	unknown	unknown											/replicates/54137a8e-3e9d-453e-aa3d-964e9e684ae7/,/replicates/e118cfce-a26c-4e5c-af62-e0a4bd1a9af8/
/experiments/ENCSR000CUN/	ENCSR000CUN	RNA-seq	RNA-seq			mammary epithelial cell female adult (23 years)	mammary epithelial cell	The libraries contained in this experiment come from mammary epithelial primary whole cells, HMEpC. They are stranded PE101 Illumina Hi-Seq RNA-Seq libraries from rRNA-depleted Total RNA > 200 nucleotides in size.	Thomas Gingeras, CSHL	ENCODE	released	1	1		Homo sapiens	adult	23	year										/replicates/40c1713b-5a7d-4ca5-b532-3fe4d85eb4bb/
/experiments/ENCSR000CPJ/	ENCSR000CPJ	RNA-seq	polyA mRNA RNA-seq			keratinocyte nuclear fraction female	keratinocyte	The libraries contained in this experiment come from independent growths of skin keratinocytes primary nuclear extracts, NHEK.  They are stranded PE76 Illumina GAIIx RNA-Seq libraries from rRNA-depleted Poly-A+ RNA > 200 nucleotides in size.	Thomas Gingeras, CSHL	ENCODE	released	3,4	1		Homo sapiens	unknown	unknown											/replicates/7461789f-263f-4784-835c-c9883f57a679/,/replicates/60312ad0-9937-4c2b-9fd6-b7ca2e9b8de3/
/experiments/ENCSR000CPX/	ENCSR000CPX	RNA-seq	polyA depleted RNA-seq			fibroblast of lung male fetal (12 weeks)	fibroblast of lung	The libraries contained in this experiment come from the whole cell fraction of independent growths of cell line AG04450. They are stranded PE76 Illumina GAIIx RNA-Seq libraries from rRNA-depleted and DSN normalized Poly-A- RNA > 200 nucleotides in size.	Thomas Gingeras, CSHL	ENCODE	released	2,1	1		Homo sapiens	fetal	12	week										/replicates/3eed8c9c-de8a-4856-8461-08d39cf64cec/,/replicates/477b1069-533f-4807-bffc-13ac211e11ca/
