accession	secondary_sample_accession	bio_material	cell_line	cell_type	collected_by	collection_date	country	culture_collection	description	dev_stage	first_public	sex	tissue_lib	tissue_type	tax_id	scientific_name	sample_alias	protocol_label	project_name	host	host_tax_id	host_status	host_sex	submitted_host_sex	host_body_site	sample_collection	sequencing_method
SAMD00004741	DRS007673		GM12878	b cell					10823-111C4		2014-04-27	female		blood	9606	Homo sapiens	SAMD00004741										
SAMD00004750	DRS007950			b cell					12214-129D9		2014-04-27			blood	9606	Homo sapiens	SAMD00004750										
SAMD00004763	DRS007674		DAUDI	b cell					10422-106C8	16 year old adolescent	2014-04-27	male		blood	9606	Homo sapiens	SAMD00004763										
SAMD00004771	DRS007851		PCM6	b cell					10474-106I6		2014-04-27	female		blood	9606	Homo sapiens	SAMD00004771										
SAMD00004774	DRS007692		BALL-1	b cell					10455-106G5		2014-04-27			blood	9606	Homo sapiens	SAMD00004774										
SAMD00004926	DRS008065			b cell					11705-123B4		2014-04-27			blood	9606	Homo sapiens	SAMD00004926										
SAMD00005039	DRS007726		RPMI1788	b cell					10427-106D4	33 year old adult	2014-04-27	male		blood	9606	Homo sapiens	SAMD00005039										
SAMD00005068	DRS007762		CTB-1	b cell					10631-108I1		2014-04-27	male		blood	9606	Homo sapiens	SAMD00005068										
SAMD00005140	DRS007803		WIL2-NS	b cell					10808-111A7		2014-04-27	male		blood	9606	Homo sapiens	SAMD00005140										
SAMD00005168	DRS007906		SLVL	b cell					10424-106D1	70 year old adult	2014-04-27	female		blood	9606	Homo sapiens	SAMD00005168										
SAMD00005213	DRS007948			b cell					12204-129C8		2014-04-27			blood	9606	Homo sapiens	SAMD00005213										
SAMD00005328	DRS007671		GM12878	b cell					10821-111C2		2014-04-27	female		blood	9606	Homo sapiens	SAMD00005328										
SAMD00005397	DRS008063			b cell					11544-120B5		2014-04-27			blood	9606	Homo sapiens	SAMD00005397										
SAMD00005415	DRS007819		MLMA	b cell					10775-110G1		2014-04-27	female		blood	9606	Homo sapiens	SAMD00005415										
SAMD00005465	DRS007946			b cell					12151-128F9		2014-04-27	male		blood	9606	Homo sapiens	SAMD00005465										
SAMD00005602	DRS008064			b cell					11624-122B4		2014-04-27			blood	9606	Homo sapiens	SAMD00005602										
SAMD00005657	DRS007672		GM12878	b cell					10822-111C3		2014-04-27	female		blood	9606	Homo sapiens	SAMD00005657										
SAMD00005661	DRS007943			b cell					12189-129B2		2014-04-27			blood	9606	Homo sapiens	SAMD00005661										
SAMD00005684	DRS007945			b cell					12199-129C3		2014-04-27			blood	9606	Homo sapiens	SAMD00005684										
SAMD00005696	DRS007944			b cell					12194-129B7		2014-04-27			blood	9606	Homo sapiens	SAMD00005696										
SAMD00005718	DRS007947			b cell					12174-128I5		2014-04-27	male		blood	9606	Homo sapiens	SAMD00005718										
SAMD00005768	DRS007949			b cell					12209-129D4		2014-04-27			blood	9606	Homo sapiens	SAMD00005768										
SAMD00005770	DRS007818		DS-1	b cell					10727-110A7		2014-04-27	female		blood	9606	Homo sapiens	SAMD00005770										
