accession	secondary_sample_accession	bio_material	cell_line	cell_type	collected_by	collection_date	country	culture_collection	description	dev_stage	first_public	sex	tissue_lib	tissue_type	tax_id	scientific_name	sample_alias	protocol_label	project_name	host	host_tax_id	host_status	host_sex	submitted_host_sex	host_body_site	sample_collection	sequencing_method
SAMD00005017	DRS008215			macrophage					11313-117C8	46 years old adult	2014-04-27	male		blood	9606	Homo sapiens	SAMD00005017										
SAMD00005152	DRS008216			macrophage					11389-118C3	57 years old adult	2014-04-27	female		blood	9606	Homo sapiens	SAMD00005152										
SAMD00005865	DRS008214			macrophage					11232-116C8	65 years old adult	2014-04-27	male		blood	9606	Homo sapiens	SAMD00005865										
SAMD00021441	DRS017521			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t1	9606	Homo sapiens	DRS017521										
SAMD00021442	DRS017522			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t2	9606	Homo sapiens	DRS017522										
SAMD00021443	DRS017523			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t3	9606	Homo sapiens	DRS017523										
SAMD00021444	DRS017524			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t4	9606	Homo sapiens	DRS017524										
SAMD00021445	DRS017525			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t5	9606	Homo sapiens	DRS017525										
SAMD00021446	DRS017526			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t6	9606	Homo sapiens	DRS017526										
SAMD00021447	DRS017527			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t7	9606	Homo sapiens	DRS017527										
SAMD00021448	DRS017528			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t8	9606	Homo sapiens	DRS017528										
SAMD00021449	DRS017529			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t9	9606	Homo sapiens	DRS017529										
SAMD00021450	DRS017530			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t10	9606	Homo sapiens	DRS017530										
SAMD00021451	DRS017531			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t11	9606	Homo sapiens	DRS017531										
SAMD00021452	DRS017532			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t12	9606	Homo sapiens	DRS017532										
SAMD00021453	DRS017533			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t13	9606	Homo sapiens	DRS017533										
SAMD00021454	DRS017534			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t14	9606	Homo sapiens	DRS017534										
SAMD00021455	DRS017535			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t15	9606	Homo sapiens	DRS017535										
SAMD00021456	DRS017536			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t16	9606	Homo sapiens	DRS017536										
SAMD00021457	DRS017537			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t17	9606	Homo sapiens	DRS017537										
SAMD00021458	DRS017538			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t18	9606	Homo sapiens	DRS017538										
SAMD00021459	DRS017539			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t19	9606	Homo sapiens	DRS017539										
SAMD00021460	DRS017540			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t20	9606	Homo sapiens	DRS017540										
SAMD00021461	DRS017541			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t21	9606	Homo sapiens	DRS017541										
SAMD00021462	DRS017542			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t22	9606	Homo sapiens	DRS017542										
SAMD00021463	DRS017543			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t23	9606	Homo sapiens	DRS017543										
SAMD00021464	DRS017544			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t24	9606	Homo sapiens	DRS017544										
SAMD00021465	DRS017545			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t25	9606	Homo sapiens	DRS017545										
SAMD00021466	DRS017546			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t26	9606	Homo sapiens	DRS017546										
SAMD00021516	DRS017596			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t1	9606	Homo sapiens	DRS017596										
SAMD00021517	DRS017597			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t2	9606	Homo sapiens	DRS017597										
SAMD00021518	DRS017598			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t3	9606	Homo sapiens	DRS017598										
SAMD00021519	DRS017599			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t4	9606	Homo sapiens	DRS017599										
SAMD00021520	DRS017600			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t5	9606	Homo sapiens	DRS017600										
SAMD00021521	DRS017601			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t6	9606	Homo sapiens	DRS017601										
SAMD00021522	DRS017602			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t7	9606	Homo sapiens	DRS017602										
SAMD00021523	DRS017603			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t8	9606	Homo sapiens	DRS017603										
SAMD00021524	DRS017604			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t9	9606	Homo sapiens	DRS017604										
SAMD00021525	DRS017605			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t10	9606	Homo sapiens	DRS017605										
SAMD00021526	DRS017606			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t11	9606	Homo sapiens	DRS017606										
SAMD00021527	DRS017607			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t12	9606	Homo sapiens	DRS017607										
SAMD00021528	DRS017608			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t13	9606	Homo sapiens	DRS017608										
SAMD00021529	DRS017609			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t14	9606	Homo sapiens	DRS017609										
SAMD00021530	DRS017610			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t15	9606	Homo sapiens	DRS017610										
SAMD00021531	DRS017611			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t16	9606	Homo sapiens	DRS017611										
SAMD00021532	DRS017612			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t17	9606	Homo sapiens	DRS017612										
SAMD00021533	DRS017613			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t18	9606	Homo sapiens	DRS017613										
SAMD00021534	DRS017614			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t19	9606	Homo sapiens	DRS017614										
SAMD00021535	DRS017615			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t20	9606	Homo sapiens	DRS017615										
SAMD00021536	DRS017616			macrophage					This sample has been submitted by RIKEN_OSC on 2015-02-13; Homo sapiens		2015-02-14			t21	9606	Homo sapiens	DRS017616										
