accession	secondary_sample_accession	bio_material	cell_line	cell_type	collected_by	collection_date	country	culture_collection	description	dev_stage	first_public	sex	tissue_lib	tissue_type	tax_id	scientific_name	sample_alias	center_name	protocol_label	project_name	host	host_tax_id	host_status	host_sex	submitted_host_sex	host_body_site	sample_collection	sequencing_method
SAMD00003164	DRS011459			T cell					11918-125H1		2014-05-29	male		blood	9606	Homo sapiens	SAMD00003164	BioSample										
SAMD00003165	DRS011457			T cell					11919-125H2		2014-05-29	male		blood	9606	Homo sapiens	SAMD00003165	BioSample										
SAMD00003166	DRS011458			T cell					11914-125G6		2014-05-29	male		blood	9606	Homo sapiens	SAMD00003166	BioSample										
SAMD00003167	DRS011456			T cell					11915-125G7		2014-05-29	male		blood	9606	Homo sapiens	SAMD00003167	BioSample										
SAMD00004701	DRS008083			T cell					11784-124B2		2014-04-27	male		blood	9606	Homo sapiens	SAMD00004701	BIOSAMPLE										
SAMD00004706	DRS008072			T cell					11793-124C2		2014-04-27	male		blood	9606	Homo sapiens	SAMD00004706	BioSample										
SAMD00004757	DRS007695		Jurkat	t cell					10464-106H5		2014-04-27	male		blood	9606	Homo sapiens	SAMD00004757	BioSample										
SAMD00004761	DRS008076			T cell					11920-125H3		2014-04-27	male		blood	9606	Homo sapiens	SAMD00004761	BioSample										
SAMD00004816	DRS007956			T cell					11798-124C7		2014-04-27	male		blood	9606	Homo sapiens	SAMD00004816	BioSample										
SAMD00004886	DRS008087			T cell					11909-125G1		2014-04-27	male		blood	9606	Homo sapiens	SAMD00004886	BIOSAMPLE										
SAMD00004924	DRS008086			T cell					11792-124C1		2014-04-27	male		blood	9606	Homo sapiens	SAMD00004924	BioSample										
SAMD00005031	DRS008077			T cell					11782-124A9		2014-04-27	male		blood	9606	Homo sapiens	SAMD00005031	BioSample										
SAMD00005098	DRS007719		ATN-1	t cell					10421-106C7	47 year old adult	2014-04-27	male		blood	9606	Homo sapiens	SAMD00005098	BIOSAMPLE										
SAMD00005102	DRS007954			T cell					11796-124C5		2014-04-27	male		blood	9606	Homo sapiens	SAMD00005102	BIOSAMPLE										
SAMD00005127	DRS008079			T cell					11908-125F9		2014-04-27	male		blood	9606	Homo sapiens	SAMD00005127	BIOSAMPLE										
SAMD00005314	DRS008073			T cell					11907-125F8		2014-04-27	male		blood	9606	Homo sapiens	SAMD00005314	BIOSAMPLE										
SAMD00005355	DRS008078			T cell					11797-124C6		2014-04-27	male		blood	9606	Homo sapiens	SAMD00005355	BIOSAMPLE										
SAMD00005369	DRS007955			T cell					11786-124B4		2014-04-27	male		blood	9606	Homo sapiens	SAMD00005369	BIOSAMPLE										
SAMD00005387	DRS008075			T cell					11916-125G8		2014-04-27	male		blood	9606	Homo sapiens	SAMD00005387	BioSample										
SAMD00005426	DRS007953			T cell					11780-124A7		2014-04-27	male		blood	9606	Homo sapiens	SAMD00005426	BioSample										
SAMD00005479	DRS008080			T cell					11791-124B9		2014-04-27	male		blood	9606	Homo sapiens	SAMD00005479	BioSample										
SAMD00005585	DRS008084			T cell					11795-124C4		2014-04-27	male		blood	9606	Homo sapiens	SAMD00005585	BioSample										
SAMD00005591	DRS007694		HPB-ALL	t cell					10429-106D6		2014-04-27	male		blood	9606	Homo sapiens	SAMD00005591	BioSample										
SAMD00005636	DRS008074			T cell					11794-124C3		2014-04-27	male		blood	9606	Homo sapiens	SAMD00005636	BioSample										
SAMD00005705	DRS008082			T cell					11917-125G9		2014-04-27	male		blood	9606	Homo sapiens	SAMD00005705	BioSample										
SAMD00005729	DRS007849		HuT 102 TIB-162	t cell					10744-110C6		2014-04-27	male		blood	9606	Homo sapiens	SAMD00005729	BioSample										
SAMD00005773	DRS008081			T cell					11913-125G5		2014-04-27	male		blood	9606	Homo sapiens	SAMD00005773	BIOSAMPLE										
SAMD00005907	DRS008085			T cell					11906-125F7		2014-04-27	male		blood	9606	Homo sapiens	SAMD00005907	BioSample										
