accession	secondary_sample_accession	bio_material	cell_type	collected_by	collection_date	description	first_public	submitted_sex	tax_id	scientific_name	sample_alias	center_name	sampling_platform	project_name	sequencing_method
SAMEA3706684	ERS1013833	Peripheral Blood	Treg			SQ_0390	2016-11-14		9606	Homo sapiens	SQ_0390	INGM ISTITUTO NAZIONALE DI GENETICA MOLECOLARE \"ROMEO ED ENRICA INVERNIZZI\			
SAMEA3719481	ERS1026630	Non Small Cell Lung Cancer	Treg			SQ_0334	2016-11-14		9606	Homo sapiens	SQ_0334	INGM ISTITUTO NAZIONALE DI GENETICA MOLECOLARE \"ROMEO ED ENRICA INVERNIZZI\			
SAMEA3719482	ERS1026631	Non Small Cell Lung Cancer	Treg			SQ_0336	2016-11-14		9606	Homo sapiens	SQ_0336	INGM ISTITUTO NAZIONALE DI GENETICA MOLECOLARE \"ROMEO ED ENRICA INVERNIZZI\			
SAMEA3719483	ERS1026632	Non Small Cell Lung Cancer	Treg			SQ_0337	2016-11-14		9606	Homo sapiens	SQ_0337	INGM ISTITUTO NAZIONALE DI GENETICA MOLECOLARE \"ROMEO ED ENRICA INVERNIZZI\			
SAMEA3719484	ERS1026633	Non Small Cell Lung Cancer	Treg			SQ_0339	2016-11-14		9606	Homo sapiens	SQ_0339	INGM ISTITUTO NAZIONALE DI GENETICA MOLECOLARE \"ROMEO ED ENRICA INVERNIZZI\			
SAMEA3719485	ERS1026634	Non Small Cell Lung Cancer	Treg			SQ_0341	2016-11-14		9606	Homo sapiens	SQ_0341	INGM ISTITUTO NAZIONALE DI GENETICA MOLECOLARE \"ROMEO ED ENRICA INVERNIZZI\			
SAMEA3719486	ERS1026635	Non Small Cell Lung Cancer	Treg			SQ_0342	2016-11-14		9606	Homo sapiens	SQ_0342	INGM ISTITUTO NAZIONALE DI GENETICA MOLECOLARE \"ROMEO ED ENRICA INVERNIZZI\			
SAMEA3719487	ERS1026636	Non Small Cell Lung Cancer	Th1			SQ_0350	2016-11-14		9606	Homo sapiens	SQ_0350	INGM ISTITUTO NAZIONALE DI GENETICA MOLECOLARE \"ROMEO ED ENRICA INVERNIZZI\			
SAMEA3719488	ERS1026637	Non Small Cell Lung Cancer	Treg			SQ_0351	2016-11-14		9606	Homo sapiens	SQ_0351	INGM ISTITUTO NAZIONALE DI GENETICA MOLECOLARE \"ROMEO ED ENRICA INVERNIZZI\			
SAMEA3719489	ERS1026638	Non Small Cell Lung Cancer	Th1			SQ_0357	2016-11-14		9606	Homo sapiens	SQ_0357	INGM ISTITUTO NAZIONALE DI GENETICA MOLECOLARE \"ROMEO ED ENRICA INVERNIZZI\			
SAMEA3719490	ERS1026639	Non Small Cell Lung Cancer	Th1			SQ_0358	2016-11-14		9606	Homo sapiens	SQ_0358	INGM ISTITUTO NAZIONALE DI GENETICA MOLECOLARE \"ROMEO ED ENRICA INVERNIZZI\			
SAMEA3719491	ERS1026640	Non Small Cell Lung Cancer	Th1			SQ_0363	2016-11-14		9606	Homo sapiens	SQ_0363	INGM ISTITUTO NAZIONALE DI GENETICA MOLECOLARE \"ROMEO ED ENRICA INVERNIZZI\			
SAMEA3719492	ERS1026641	Non Small Cell Lung Cancer	Th1			SQ_0364	2016-11-14		9606	Homo sapiens	SQ_0364	INGM ISTITUTO NAZIONALE DI GENETICA MOLECOLARE \"ROMEO ED ENRICA INVERNIZZI\			
SAMEA3719493	ERS1026642	Non Small Cell Lung Cancer	Th1			SQ_0365	2016-11-14		9606	Homo sapiens	SQ_0365	INGM ISTITUTO NAZIONALE DI GENETICA MOLECOLARE \"ROMEO ED ENRICA INVERNIZZI\			
SAMEA3719494	ERS1026643	Non Small Cell Lung Cancer	Th1			SQ_0366	2016-11-14		9606	Homo sapiens	SQ_0366	INGM ISTITUTO NAZIONALE DI GENETICA MOLECOLARE \"ROMEO ED ENRICA INVERNIZZI\			
SAMEA3719495	ERS1026644	Non Small Cell Lung Cancer	Th17			SQ_0373	2016-11-14		9606	Homo sapiens	SQ_0373	INGM ISTITUTO NAZIONALE DI GENETICA MOLECOLARE \"ROMEO ED ENRICA INVERNIZZI\			
SAMEA3719496	ERS1026645	Non Small Cell Lung Cancer	Th17			SQ_0374	2016-11-14		9606	Homo sapiens	SQ_0374	INGM ISTITUTO NAZIONALE DI GENETICA MOLECOLARE \"ROMEO ED ENRICA INVERNIZZI\			
SAMEA3719497	ERS1026646	Non Small Cell Lung Cancer	Th17			SQ_0375	2016-11-14		9606	Homo sapiens	SQ_0375	INGM ISTITUTO NAZIONALE DI GENETICA MOLECOLARE \"ROMEO ED ENRICA INVERNIZZI\			
SAMEA3719498	ERS1026647	Non Small Cell Lung Cancer	Th17			SQ_0376	2016-11-14		9606	Homo sapiens	SQ_0376	INGM ISTITUTO NAZIONALE DI GENETICA MOLECOLARE \"ROMEO ED ENRICA INVERNIZZI\			
SAMEA3719499	ERS1026648	Colorectal Cancer	Th1			SQ_0386	2016-11-14		9606	Homo sapiens	SQ_0386	INGM ISTITUTO NAZIONALE DI GENETICA MOLECOLARE \"ROMEO ED ENRICA INVERNIZZI\			
SAMEA3719500	ERS1026649	Colorectal Cancer	Th17			SQ_0387	2016-11-14		9606	Homo sapiens	SQ_0387	INGM ISTITUTO NAZIONALE DI GENETICA MOLECOLARE \"ROMEO ED ENRICA INVERNIZZI\			
SAMEA3719501	ERS1026650	Colorectal Cancer	Treg			SQ_0388	2016-11-14		9606	Homo sapiens	SQ_0388	INGM ISTITUTO NAZIONALE DI GENETICA MOLECOLARE \"ROMEO ED ENRICA INVERNIZZI\			
